condition,languageCondition,trial,agent,choice_rank,collision_rate,deference_rate,reward,reward_initial,reward_max,reward_no_collision,reward_normed,unknown_choice_rate,condition_raw,languageConditionRaw,rl_agent
Individual Utilities,Lang,trial2,agent_2,0.464687496,0.073124997,0.355312496,8.61187458,9.069375038,NA,9.069375038,0.937517345,6.25e-4,ind,contcomm,TRUE
Individual Utilities,Lang,trial1,agent_0,0.764062464,0.0465625,0.383749992,8.2012500760000009,8.473437309,9.156147003,8.473437309,0.896413684,0.029999999,ind,contcomm,TRUE
Individual Utilities,Lang,trial1,agent_1,0.033124998,0.025625,0.032812499,10.05968761,10.24843693,NA,10.24843693,1.102201462,0,ind,contcomm,TRUE
Individual Utilities,Lang,trial1,agent_2,1.347812414,0.060312498,0.670000017,6.620312214,6.987499714,NA,6.987499714,0.719973266,0.068437502,ind,contcomm,TRUE
Shared Utilities,Nonlang,trial10,agent_0,0.463749975,0.248125002,0.401874989,7.220416069,9.105312347,9.148958206,8.502708435,0.790164948,0.0021875,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial10,agent_1,1.6328125,0.138437495,0.930625022,7.220416069,6.154062271,NA,8.502708435,0.790164948,0.02125,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial10,agent_2,0.048749998,0.189999998,0.048124999,7.220416069,10.24874973,NA,8.502708435,0.790164948,0,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial9,agent_0,1.559999943,0.107812494,0.925937474,7.814375401,6.289687157,9.148020744,8.558751106,0.855157614,0.023125,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial9,agent_1,0.433437496,0.144374996,0.314375013,7.814375401,9.166874886,NA,8.558751106,0.855157614,0.0025,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial9,agent_2,0.042187501,0.099687494,0.040312499,7.814375401,10.21968746,NA,8.558751106,0.855157614,3.125e-4,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial8,agent_0,1.6640625,0.094687499,0.962499976,7.35395813,6.1865625380000004,9.181249619,8.690728188,0.804576933,0.030312499,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial8,agent_1,0.34937498,0.221249998,0.205312505,7.35395813,9.635937691,NA,8.690728188,0.804576933,0.032187499,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial8,agent_2,0.052812498,0.211249992,0.045312501,7.35395813,10.24968719,NA,8.690728188,0.804576933,0.00125,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial7,agent_0,0.0390625,0.130937502,0.0390625,7.293959141,10.27124977,9.163646698,8.120624542,0.797714531,0,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial7,agent_1,1.853437424,0.095624998,0.956875026,7.293959141,5.4990625380000004,NA,8.120624542,0.797714531,0.049999997,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial7,agent_2,0.800937474,0.173749998,0.604375005,7.293959141,8.591562271,NA,8.120624542,0.797714531,0.0109375,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial6,agent_0,4.5068750380000004,0,1,6.386456966,6.362499714,9.135625839,6.386456966,0.697860479,1,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial6,agent_1,4.5243749619999996,0,1,6.386456966,6.419687271,NA,6.386456966,0.697860479,1,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial6,agent_2,4.492812634,0,1,6.386456966,6.377187252,NA,6.386456966,0.697860479,1,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial5,agent_0,1.593124986,0.099062495,0.917187512,7.073750973,6.274062157,9.16583252,8.733647346,0.775259554,0.0425,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial5,agent_1,0.049687497,0.264375001,0.047812499,7.073750973,10.27906227,NA,8.733647346,0.775259554,3.125e-4,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial5,agent_2,0.264375001,0.284062505,0.204062507,7.073750973,9.64781189,NA,8.733647346,0.775259554,6.25e-4,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial4,agent_0,0.396562487,0.314999998,0.356249988,6.919585228,9.624687195,9.148228645,8.731977463,0.754754365,9.375e-4,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial4,agent_1,1.56812501,0.103124999,0.908437491,6.919585228,6.3818750380000004,NA,8.731977463,0.754754365,0.048124999,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial4,agent_2,0.0940625,0.30249998,0.073437497,6.919585228,10.18937492,NA,8.731977463,0.754754365,0.0025,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial3,agent_0,0.037812497,0.106562495,0.036874998,7.774582863,10.29906273,9.162080765,8.550726891,0.848789215,3.125e-4,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial3,agent_1,1.659999967,0.106249996,0.953750014,7.774582863,6.1640625,NA,8.550726891,0.848789215,0.039687499,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial3,agent_2,0.788437486,0.148749992,0.3828125,7.774582863,9.189062119,NA,8.550726891,0.848789215,0.106249996,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial2,agent_0,4.503124714,0,1,6.409688473,6.415624619,9.160313606,6.409688473,0.698670507,1,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial2,agent_1,4.5225000380000004,0,1,6.409688473,6.369374752,NA,6.409688473,0.698670507,0.999687493,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial2,agent_2,4.495625019,0,1,6.409688473,6.444062233,NA,6.409688473,0.698670507,1,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial1,agent_0,0.0434375,0.153125003,0.041875001,7.564688683,10.26000023,9.179895401,8.531876564,0.824996293,3.125e-4,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial1,agent_1,0.727499962,0.174999997,0.360000014,7.564688683,9.134374619,NA,8.531876564,0.824996293,0.089062497,joint,nocomm,TRUE
Shared Utilities,Nonlang,trial1,agent_2,1.650937438,0.105312496,0.961562514,7.564688683,6.201250076,NA,8.531876564,0.824996293,0.032187499,joint,nocomm,TRUE
Individual Utilities,Nonlang,trial10,agent_0,0.044687498,0.143749997,0.040312499,9.157187462,10.21656227,9.145832062,10.21656227,1.005408764,3.125e-4,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial10,agent_1,1.739687443,0.096874997,0.951250017,5.576250076,6.0615625380000004,NA,6.0615625380000004,0.609248221,0.0546875,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial10,agent_2,0.63062501,0.153125003,0.320625007,8.159687042,9.260000229,NA,9.260000229,0.892077625,0.076250002,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial9,agent_0,0.056874998,0.154375002,0.0509375,9.019374847,10.2109375,9.165206909,10.2109375,0.990380824,6.25e-4,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial9,agent_1,1.694687486,0.108125001,0.953437507,5.693749905,6.245625019,NA,6.245625019,0.621037364,0.048124999,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial9,agent_2,0.60499996,0.179374993,0.301562488,8.130000114,9.429999352,NA,9.429999352,0.887543678,0.081874996,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial8,agent_0,1.54906249,0.111249998,0.935937524,5.737812519,6.314687252,9.170623779,6.314687252,0.625789344,0.0215625,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial8,agent_1,0.452812493,0.211249992,0.277812511,7.719374657,9.3106250760000009,NA,9.3106250760000009,0.842083633,0.0215625,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial8,agent_2,0.080937497,0.199062496,0.075625002,8.656874657,10.20125008,NA,10.20125008,0.948116958,3.125e-4,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial7,agent_0,1.600937486,0.105624996,0.949687481,5.6709375380000004,6.208437443,9.14125061,6.208437443,0.61922729,0.028749999,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial7,agent_1,0.740937471,0.152500004,0.411249995,8.268437386,9.278124809,NA,9.278124809,0.903684318,0.085312501,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial7,agent_2,0.040312499,0.111874998,0.039687499,9.433437347,10.22937489,NA,10.22937489,1.03519237,0,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial6,agent_0,0.494374991,0.139062494,0.328125,8.192187309,9.130311966,9.14364624,9.130311966,0.895167589,0.013437499,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial6,agent_1,0.045937497,0.098437496,0.045000002,9.461874962,10.20906258,NA,10.20906258,1.04087317,0,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial6,agent_2,1.583124995,0.097812496,0.929374993,5.8671875,6.349999905,NA,6.349999905,0.639044404,0.037499998,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial5,agent_0,0.537812471,0.144999996,0.367500007,8.2637500760000009,9.2362499239999991,9.178957939,9.2362499239999991,0.898275673,0.028124999,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial5,agent_1,1.74437499,0.096562497,0.96656251,5.53249979,6.021249771,NA,6.021249771,0.602311134,0.044687498,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial5,agent_2,0.054062501,0.121562496,0.048437499,9.375311852,10.24687481,NA,10.24687481,1.023171067,3.125e-4,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial4,agent_0,0.041874997,0.127499998,0.03875,9.301249504,10.22875023,9.161147118,10.22875023,1.017043233,3.125e-4,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial4,agent_1,0.644374967,0.1875,0.384999991,8.034999847,9.267187119,NA,9.267187119,0.875472903,0.0621875,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial4,agent_2,1.651562452,0.130624995,0.961250007,5.506249905,6.170624733,NA,6.170624733,0.599812627,0.022499999,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial3,agent_0,4.491562366,0,1,6.456249714,6.456249714,9.18270874,6.456249714,0.701871991,1,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial3,agent_1,4.494687557,0,1,6.378124714,6.378124714,NA,6.378124714,0.692834139,1,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial3,agent_2,4.501874924,0,1,6.341562271,6.341562271,NA,6.341562271,0.688274622,1,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial2,agent_0,0.678749979,0.156562492,0.439375013,8.045311928,9.043437004,9.15031147,9.043437004,0.876140475,0.047499999,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial2,agent_1,0.0428125,0.114999995,0.040624999,9.443124771,10.25468731,NA,10.25468731,1.035505533,0,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial2,agent_2,1.615937471,0.114062496,0.956562519,5.5859375,6.162499905,NA,6.162499905,0.609845758,0.0234375,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial1,agent_0,0.0590625,0.083437495,0.050000001,9.654686928,10.235937119999999,9.186668396,10.235937119999999,1.053231835,9.375e-4,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial1,agent_1,0.68312496,0.13562499,0.374687493,8.4140625,9.2559375760000009,NA,9.2559375760000009,0.914308906,0.076875001,ind,nocomm,TRUE
Individual Utilities,Nonlang,trial1,agent_2,1.700312495,0.112187497,0.965312481,5.5653123860000004,6.129687309,NA,6.129687309,0.605262041,0.032812499,ind,nocomm,TRUE
