playerId,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,name,avatar,nameColor,bonus,clicked,timeClick,imageOrder,scoreIncrement,clickLength,rawScore,exitTimeoutId,exited
hbw3NjMS22hPG6KFF,NA,2021-07-23T16:57:56Z,2021-07-23T16:57:56Z,1,ExitSurvey,2021-07-23T17:10:05Z,finished,NA,NA,NA,2021-07-23T16:40:02Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,7.013333333333332,white_3,6475,"white_2,white_11,white_3,white_6,white_7,white_4",0.19333333333333333,3,9.666666666666666,NA,NA
Dyhss9ZhzJKynGEEJ,NA,2021-07-23T16:46:44Z,2021-07-23T16:46:44Z,1,"Sorry,ExitSurvey",2021-07-23T16:54:57Z,failed,Failed on onStageEnd callback,NA,NA,2021-07-23T16:40:18Z,Repi,/avatars/jdenticon/Samuel,#8138A8,1.0533333333333332,purple_12,1651,"purple_11,purple_12,purple_1,purple_8,purple_9,purple_6",0.14666666666666667,3,7.333333333333333,8239,TRUE
HrWWLJMvWe7zCW6ec,NA,2021-07-23T16:46:10Z,2021-07-23T16:46:10Z,1,ExitSurvey,2021-07-23T16:54:58Z,finished,NA,NA,NA,2021-07-23T16:40:25Z,Repi,/avatars/jdenticon/Samuel,#8138A8,6.666666666666665,white_7,-823,"white_12,white_5,white_1,white_7,white_11,white_4",0.12,2,6,NA,NA
y89TvuHAxAMHccN2k,NA,NA,NA,NA,NA,2021-07-23T17:09:28Z,gameFull,NA,NA,NA,2021-07-23T16:40:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HJgoCwD7zQSdrArYp,NA,2021-07-23T16:47:26Z,2021-07-23T16:47:26Z,1,"Sorry,ExitSurvey",2021-07-23T16:54:57Z,failed,Failed on onStageEnd callback,NA,NA,2021-07-23T16:40:38Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,1.0533333333333332,purple_9,7263,"purple_11,purple_6,purple_9,purple_8,purple_1,purple_12",0.14666666666666667,3,7.333333333333333,7636,TRUE
SqhdAyq7XDqavBgnv,NA,2021-07-23T16:47:46Z,2021-07-23T16:47:46Z,1,"Sorry,ExitSurvey",2021-07-23T16:53:12Z,failed,Failed on onStageEnd callback,NA,NA,2021-07-23T16:40:46Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,1.2666666666666666,yellow_12,3045,"yellow_2,yellow_12,yellow_5,yellow_4,yellow_6,yellow_7",0.12666666666666665,2,6.333333333333333,8832,TRUE
Zyp2BouieuyW8sEkv,NA,2021-07-23T16:48:40Z,2021-07-23T16:48:40Z,1,NA,2021-07-23T16:53:12Z,failed,Failed on onStageEnd callback,NA,NA,2021-07-23T16:41:34Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,1.2666666666666666,false,NA,"yellow_2,yellow_4,yellow_7,yellow_12,yellow_5,yellow_6",0.12666666666666665,2,6.333333333333333,NA,NA
bf22RWcDzrst7CuQ8,NA,2021-07-23T16:52:56Z,2021-07-23T16:52:56Z,1,ExitSurvey,2021-07-23T17:02:56Z,finished,NA,NA,NA,2021-07-23T16:42:26Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,5.746666666666666,yellow_2,3153,"yellow_2,yellow_8,yellow_6,yellow_4,yellow_5,yellow_12",0.08,1,4,NA,NA
QkuRpi5JwnjNAfrfo,NA,2021-07-23T16:47:33Z,2021-07-23T16:47:33Z,1,NA,2021-07-23T16:54:57Z,failed,Failed on onStageEnd callback,NA,NA,2021-07-23T16:43:01Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,1.0533333333333332,false,NA,"purple_1,purple_9,purple_11,purple_8,purple_12,purple_6",0.14666666666666667,3,7.333333333333333,NA,NA
88itDnHA42A3xM9q2,NA,2021-07-23T16:51:52Z,2021-07-23T16:51:52Z,1,ExitSurvey,2021-07-23T17:02:56Z,finished,NA,NA,NA,2021-07-23T16:44:08Z,Repi,/avatars/jdenticon/Samuel,#8138A8,5.746666666666666,yellow_2,1604,"yellow_4,yellow_2,yellow_5,yellow_12,yellow_8,yellow_6",0.08,1,4,NA,NA
hS4vjRuNqWnfHC94r,NA,2021-07-23T16:53:52Z,2021-07-23T16:53:52Z,1,ExitSurvey,2021-07-23T17:02:56Z,finished,NA,NA,NA,2021-07-23T16:49:34Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,5.746666666666666,yellow_2,1620,"yellow_6,yellow_4,yellow_8,yellow_12,yellow_5,yellow_2",0.08,1,4,NA,NA
jaS8DsFgXaxoezXGF,NA,NA,NA,NA,NA,2021-07-23T17:09:28Z,gameFull,NA,NA,NA,2021-07-23T16:50:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6nN5jtDyBpx44jbwy,NA,2021-07-23T16:55:39Z,2021-07-23T16:55:39Z,1,ExitSurvey,2021-07-23T17:03:08Z,finished,NA,NA,NA,2021-07-23T16:50:39Z,Repi,/avatars/jdenticon/Samuel,#8138A8,7.246666666666668,yellow_10,-11621,"yellow_3,yellow_1,yellow_10,yellow_6,yellow_11,yellow_7",0.13333333333333333,2,6.666666666666667,NA,NA
jDy5F5KE3bB7QtSpC,NA,2021-07-23T17:00:12Z,2021-07-23T17:00:12Z,1,ExitSurvey,2021-07-23T17:08:22Z,finished,NA,NA,NA,2021-07-23T16:50:40Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,6.0933333333333355,white_7,450,"white_9,white_7,white_11,white_1,white_12,white_2",0.13333333333333333,3,6.666666666666667,NA,NA
BfkQKb3jviFjn3QAM,NA,2021-07-23T17:04:35Z,2021-07-23T17:04:35Z,1,ExitSurvey,2021-07-23T17:13:03Z,finished,NA,NA,NA,2021-07-23T16:50:46Z,Repi,/avatars/jdenticon/Samuel,#8138A8,6.793333333333332,yellow_6,8168,"yellow_10,yellow_9,yellow_2,yellow_8,yellow_7,yellow_6",0.12666666666666665,2,6.333333333333333,NA,NA
dDbuWnfCrwpHkbsRg,NA,2021-07-23T16:58:19Z,2021-07-23T16:58:19Z,1,ExitSurvey,2021-07-23T17:10:05Z,finished,NA,NA,NA,2021-07-23T16:50:47Z,Repi,/avatars/jdenticon/Samuel,#8138A8,7.013333333333332,white_7,1764,"white_7,white_2,white_6,white_3,white_11,white_4",0.19333333333333333,3,9.666666666666666,NA,NA
E78pfsFWs66WjEqhW,NA,2021-07-23T16:58:51Z,2021-07-23T16:58:51Z,1,ExitSurvey,2021-07-23T17:08:10Z,finished,NA,NA,NA,2021-07-23T16:50:51Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,5.959999999999999,red_7,1848,"red_6,red_9,red_11,red_7,red_8,red_12",0.16,3,8,NA,NA
Esz3BJgX4xte73aPP,NA,2021-07-23T16:55:12Z,2021-07-23T16:55:12Z,1,ExitSurvey,2021-07-23T17:03:08Z,finished,NA,NA,NA,2021-07-23T16:50:51Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,7.246666666666668,yellow_10,1198,"yellow_11,yellow_7,yellow_1,yellow_3,yellow_10,yellow_6",0.13333333333333333,2,6.666666666666667,NA,NA
MoffctnGjby2hyGhf,NA,2021-07-23T16:56:52Z,2021-07-23T16:56:52Z,1,ExitSurvey,2021-07-23T17:04:20Z,finished,NA,NA,NA,2021-07-23T16:50:51Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,6.973333333333334,yellow_8,1681,"yellow_3,yellow_7,yellow_8,yellow_1,yellow_2,yellow_9",0.14,2,7,NA,NA
SFbtuPNhbjNBaPnvf,NA,2021-07-23T16:55:25Z,2021-07-23T16:55:25Z,1,ExitSurvey,2021-07-23T17:03:08Z,finished,NA,NA,NA,2021-07-23T16:50:59Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,7.246666666666668,yellow_6,1804,"yellow_11,yellow_10,yellow_7,yellow_6,yellow_3,yellow_1",0.13333333333333333,2,6.666666666666667,NA,NA
HHzZRioDjDnoot6aj,NA,2021-07-23T17:00:57Z,2021-07-23T17:00:57Z,1,ExitSurvey,2021-07-23T17:08:22Z,finished,NA,NA,NA,2021-07-23T16:51:17Z,Repi,/avatars/jdenticon/Samuel,#8138A8,6.0933333333333355,white_2,232,"white_9,white_2,white_12,white_7,white_11,white_1",0.13333333333333333,3,6.666666666666667,NA,NA
wuHYu7fPyyYorsXju,NA,2021-07-23T16:56:13Z,2021-07-23T16:56:13Z,1,ExitSurvey,2021-07-23T17:04:20Z,finished,NA,NA,NA,2021-07-23T16:51:18Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,6.973333333333334,yellow_8,1479,"yellow_8,yellow_2,yellow_3,yellow_9,yellow_1,yellow_7",0.14,2,7,NA,NA
4WrsHH6tYWpKjYj2L,NA,2021-07-23T16:59:26Z,2021-07-23T16:59:26Z,1,ExitSurvey,2021-07-23T17:08:10Z,finished,NA,NA,NA,2021-07-23T16:51:19Z,Repi,/avatars/jdenticon/Samuel,#8138A8,5.959999999999999,red_11,1298,"red_7,red_9,red_8,red_11,red_6,red_12",0.16,3,8,NA,NA
FucM7ALrbZEpfycuE,NA,2021-07-23T16:57:06Z,2021-07-23T16:57:06Z,1,ExitSurvey,2021-07-23T17:04:20Z,finished,NA,NA,NA,2021-07-23T16:51:52Z,Repi,/avatars/jdenticon/Samuel,#8138A8,6.973333333333334,yellow_3,1747,"yellow_8,yellow_7,yellow_9,yellow_3,yellow_2,yellow_1",0.14,2,7,NA,NA
fXnW6X9q4nRqJG4aq,NA,2021-07-23T16:57:06Z,2021-07-23T16:57:06Z,1,ExitSurvey,2021-07-23T17:10:05Z,finished,NA,NA,NA,2021-07-23T16:52:18Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,7.013333333333332,white_2,2866,"white_7,white_6,white_4,white_11,white_3,white_2",0.19333333333333333,3,9.666666666666666,NA,NA
M8Xvx6dYLJJ7KMQQQ,NA,2021-07-23T16:58:31Z,2021-07-23T16:58:31Z,1,ExitSurvey,2021-07-23T17:08:10Z,finished,NA,NA,NA,2021-07-23T16:54:03Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,5.959999999999999,red_6,-19339,"red_11,red_12,red_8,red_9,red_6,red_7",0.16,3,8,NA,NA
WwpC2LRdQwpDbsxH4,NA,2021-07-23T17:01:23Z,2021-07-23T17:01:23Z,1,ExitSurvey,2021-07-23T17:08:22Z,finished,NA,NA,NA,2021-07-23T16:56:12Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,6.0933333333333355,white_11,1027,"white_12,white_9,white_7,white_2,white_11,white_1",0.13333333333333333,3,6.666666666666667,NA,NA
nfSEndJ3cGwiFnYtz,NA,2021-07-23T17:02:55Z,2021-07-23T17:02:55Z,1,"Sorry,ExitSurvey",2021-07-23T17:07:05Z,failed,Failed on onStageEnd callback,NA,NA,2021-07-23T16:58:05Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,0,white_3,9609,"white_9,white_3,white_11,white_6,white_8,white_4",NA,NA,NA,NA,NA
iXW8BsftHJAEYdd3T,NA,NA,NA,NA,"Sorry,ExitSurvey",2021-07-23T17:09:28Z,gameFull,NA,NA,NA,2021-07-23T17:00:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
me7iEtGN8fFRokvPg,NA,NA,NA,NA,"Sorry,ExitSurvey",2021-07-23T17:09:28Z,gameFull,NA,NA,NA,2021-07-23T17:01:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
eY2skYTfqaiZTMuS5,NA,2021-07-23T17:08:21Z,2021-07-23T17:08:21Z,1,ExitSurvey,2021-07-23T17:15:58Z,finished,NA,NA,NA,2021-07-23T17:01:26Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,6.026666666666667,white_11,30518,"white_11,white_10,white_1,white_5,white_9,white_4",0.08666666666666666,2,4.333333333333333,NA,NA
8uiSdJDKwaBb8RGwB,NA,2021-07-23T17:03:30Z,2021-07-23T17:03:30Z,1,"Sorry,ExitSurvey",2021-07-23T17:07:05Z,failed,Failed on onStageEnd callback,NA,NA,2021-07-23T17:01:28Z,Repi,/avatars/jdenticon/Samuel,#8138A8,0,white_11,3651728,"white_11,white_8,white_4,white_9,white_6,white_3",NA,NA,NA,NA,NA
sMyHRzJg6xN4RMttb,NA,2021-07-23T17:06:55Z,2021-07-23T17:06:55Z,1,ExitSurvey,2021-07-23T17:15:27Z,finished,NA,NA,NA,2021-07-23T17:01:32Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,5.84,red_6,-1133,"red_10,red_8,red_12,red_11,red_6,red_9",0.06666666666666667,1,3.3333333333333335,NA,NA
KBceqLEmZNGipbpP4,NA,2021-07-23T17:04:39Z,2021-07-23T17:04:39Z,1,ExitSurvey,2021-07-23T17:13:03Z,finished,NA,NA,NA,2021-07-23T17:01:36Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,6.793333333333332,yellow_7,3870,"yellow_2,yellow_7,yellow_6,yellow_10,yellow_8,yellow_9",0.12666666666666665,2,6.333333333333333,NA,NA
QruMEZRqxuSgdRvRv,NA,2021-07-23T17:05:28Z,2021-07-23T17:05:28Z,1,ExitSurvey,2021-07-23T17:13:06Z,finished,NA,NA,NA,2021-07-23T17:01:40Z,Repi,/avatars/jdenticon/Samuel,#8138A8,6.660000000000002,white_9,142453,"white_12,white_3,white_8,white_11,white_2,white_9",0.16666666666666669,3,8.333333333333334,NA,NA
fW7NBdzzXyZS5wy4r,NA,2021-07-23T17:04:44Z,2021-07-23T17:04:44Z,1,ExitSurvey,2021-07-23T17:13:03Z,finished,NA,NA,NA,2021-07-23T17:01:42Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,6.793333333333332,yellow_7,1700,"yellow_8,yellow_7,yellow_10,yellow_9,yellow_2,yellow_6",0.12666666666666665,2,6.333333333333333,NA,NA
rNAy3sj2cTwXnko69,NA,2021-07-23T17:05:29Z,2021-07-23T17:05:29Z,1,ExitSurvey,2021-07-23T17:13:06Z,finished,NA,NA,NA,2021-07-23T17:01:42Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,6.660000000000002,white_3,1782,"white_8,white_9,white_11,white_2,white_12,white_3",0.16666666666666669,3,8.333333333333334,NA,NA
