_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.name,data.avatar,data.nameColor,data.bonus,data.clicked,data.timeClick,data.imageOrder,data.scoreIncrement,data.clickLength,data.rawScore,data.exitTimeoutId,data.exited
XTfuydiWfWq3WJXHi,,2021-07-02T20:46:27Z,2021-07-02T20:46:27Z,1,ExitSurvey,2021-07-02T20:56:21Z,finished,,,,2021-07-02T20:43:42Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,4.172,purple_3,1136,"purple_3,purple_7,purple_6,purple_4,purple_11,purple_2",0.08399999999999999,2,6,,
dkhdBEpNuFx7g7yAA,,2021-07-02T20:47:06Z,2021-07-02T20:47:06Z,1,ExitSurvey,2021-07-02T20:56:21Z,finished,,,,2021-07-02T20:43:44Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,5.102999999999999,purple_7,1897,"purple_2,purple_3,purple_7,purple_11,purple_4,purple_6",0.08399999999999999,1,6,,
XBHsyDPp4XB2B6Q74,,,,,,2021-07-02T21:30:56Z,cancelled,adminCancelled,,,2021-07-02T20:43:45Z,,,,,,,,,,,,
kSLXyQdCrH8DKPLW4,,2021-07-02T20:47:56Z,2021-07-02T20:47:56Z,1,ExitSurvey,2021-07-02T21:01:27Z,finished,,,,2021-07-02T20:43:46Z,Repi,/avatars/jdenticon/Samuel,#8138A8,4.718000000000001,red_9,4610,"red_12,red_9,red_7,red_1,red_4,red_2",0.09799999999999999,1,7,,
WafzYm8Qw6gKzLtD6,,,,,,2021-07-02T21:30:56Z,gameFull,,,,2021-07-02T20:43:48Z,,,,,,,,,,,,
3Xw8dWcvR883mjH7p,,2021-07-02T20:47:24Z,2021-07-02T20:47:24Z,1,ExitSurvey,2021-07-02T20:56:21Z,finished,,,,2021-07-02T20:43:50Z,Repi,/avatars/jdenticon/Samuel,#8138A8,4.738999999999999,purple_3,1141,"purple_2,purple_3,purple_4,purple_11,purple_7,purple_6",0.08399999999999999,2,6,,
CbRcZej3pXjbp3bta,,2021-07-02T21:02:27Z,2021-07-02T21:02:27Z,1,ExitSurvey,2021-07-02T21:11:36Z,finished,,,,2021-07-02T20:43:50Z,Repi,/avatars/jdenticon/Samuel,#8138A8,4.431,purple_1,-23190,"purple_3,purple_1,purple_5,purple_10,purple_2,purple_11",0.013999999999999999,1,1,,
xHRssJDpPAMga9Ba2,,,,,,2021-07-02T21:30:56Z,gameFull,,,,2021-07-02T20:44:28Z,,,,,,,,,,,,
vjzuiMwSFZiW4WxwJ,,2021-07-02T20:52:59Z,2021-07-02T20:52:59Z,1,ExitSurvey,2021-07-02T21:02:34Z,finished,,,,2021-07-02T20:44:45Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,5.47633333333333,yellow_7,1985,"yellow_12,yellow_3,yellow_7,yellow_4,yellow_2,yellow_10",0.077,2,5.5,,
XsRsWtNuZ3QDMXnox,,2021-07-02T21:06:42Z,2021-07-02T21:06:42Z,1,ExitSurvey,2021-07-02T21:14:08Z,finished,,,,2021-07-02T20:44:56Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,4.8999999999999995,yellow_10,1672,"yellow_10,yellow_6,yellow_9,yellow_5,yellow_8,yellow_11",0.14,1,10,,
