_id,playerId,gameId,createdAt,data.age,data.gender,data.language,data.raceWhite,data.raceBlack,data.raceAsian,data.raceNative,data.raceIslander,data.raceHispanic,data.education,data.correctness,data.human,data.workedWell,data.fair,data.feedback,data.time
D8rbN6egRuzAYRLZq,fW7NBdzzXyZS5wy4r,hs4ay3QceE9oxhcov,2021-07-23T17:14:13Z,18,Female,English,true,,true,,,,highSchool,yes,yes,neutral,Yes :),,"If anything, we had too much time - there were 3 minutes to choose, and we were usually choosing in the first 10 seconds or so, since there wasn't really much in the way of communication."
2SnXyXAnvzaSXz6aQ,BfkQKb3jviFjn3QAM,hs4ay3QceE9oxhcov,2021-07-23T17:14:57Z,65,male,english,,,,,,,someCollege,yes,yes,neutral,yes ,No everything was good,Time was adequate
Pnj77cvHBdz3SWXw9,kNSR5gfPNz5ZPjeCG,PpM5fquuz928vcQXT,2021-07-23T17:15:27Z,49,female,english,true,,,,,,highSchool,yes,yes,neutral,yes,no,yes
zgKSJvuMWAnr2gcdG,sMyHRzJg6xN4RMttb,vQvATm9LmWkXxQ8E6,2021-07-23T17:15:56Z,33,Male,English,true,,,,,,master,yes,yes,stronglyAgree,Yes,No,Yes
4fxGqfg9XSi9XBHNy,d8GPBAK4ZaA6jQh3c,vQvATm9LmWkXxQ8E6,2021-07-23T17:16:02Z,25,Male,English,true,,,,,,bachelor,yes,no,disagree,Yes.,None.,More than enough.
kd65znKDYqcB9qYmf,gxzXoDQNKsurkgfBw,PpM5fquuz928vcQXT,2021-07-23T17:16:20Z,33,Male,English,true,,,,,,someCollege,yes,yes,agree,"Yes I feel the pay was fair, it was also not a slog like other studies.",The only issue I saw was a few times no one chose a flower.,Yes I had enough time on each round.
6p2PtbukRGtsNCTA7,G6Z6Yxjh52x52q9Bd,vQvATm9LmWkXxQ8E6,2021-07-23T17:16:36Z,27,Woman,English,true,,,,,,master,yes,yes,neutral,Yes,Nope!,"Yes, there was more than enough time to make selections."
MZMzo7tP5fr7q5fDa,ejcjLrQYBqyePjZy3,yChiLy8KMLoXtoCyh,2021-07-23T17:16:38Z,41,Female,English,true,,,,,,bachelor,yes,no,stronglyAgree,yes,no,yes
pD7yWhHuq6QXGGymT,eY2skYTfqaiZTMuS5,yChiLy8KMLoXtoCyh,2021-07-23T17:16:53Z,27,Male,English,true,,,,,,someCollege,yes,yes,stronglyAgree,Yes. Fair.,No problems. Thank you kind person!,Yes.
nNeZJ6yxNABJkCieg,aRy976KcJEd8cuCxR,PpM5fquuz928vcQXT,2021-07-23T17:16:55Z,19,Female,English,true,,,,,,highSchool,yes,yes,agree,"I feel as though it is moderately fair given that we were only doing a simple activity for a short amount of time! I would, of course, be happier with a little extra though.",No!,I feel like there was plenty of time each round.
qZ6YTq7qoNvK3sx3i,cRtBKpDnajNyNh6Zn,yChiLy8KMLoXtoCyh,2021-07-23T17:18:10Z,39,Male,English,true,,,,,,highSchool,yes,yes,agree,Yes as it was fun and worthwhile.,No problems found.,"Yes, as it was a straightforward task that didn't require much thinking."
