alignment,ba,bna,category,dnmalignment,nba,nbna,replierId,speakerId
2.0149030205422647,1,0,ha,0.43333333333333335,1,13,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
1.6739764335716714,0,0,hah,0.0,1,14,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
1.2347444629926896,4,1,he,0.3333333333333333,2,8,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
1.6739764335716714,0,0,her,0.0,1,14,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
1.6739764335716714,0,0,here,0.0,1,14,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
0.5108256237659905,5,3,i,0.18095238095238098,2,5,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
1.3217558399823193,1,1,in,0.3666666666666667,1,12,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
0.6286086594223741,0,1,it,-0.06666666666666667,2,12,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
1.6739764335716714,0,0,its,0.0,1,14,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
1.3217558399823195,0,0,of,0.0,2,13,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
1.6739764335716714,0,0,off,0.0,1,14,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
0.5108256237659905,2,1,on,0.08571428571428569,5,7,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
0.5108256237659905,2,1,one,0.08571428571428569,5,7,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
1.6739764335716714,0,0,that,0.0,1,14,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
1.0116009116784799,3,1,the,0.23333333333333334,3,8,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
0.5753641449035618,0,2,we,-0.13333333333333333,1,12,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
0.6286086594223741,0,1,with,-0.06666666666666667,2,12,ehFS23PQxCCDHHxyf,GsXazheEWLkYZLQqv
0.28768207245178085,1,2,a,0.4,0,2,ehFS23PQxCCDHHxyf,WADiGpeAEgWDqGFda
0.28768207245178085,1,2,all,0.4,0,2,ehFS23PQxCCDHHxyf,WADiGpeAEgWDqGFda
