_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.name,data.avatar,data.nameColor,data.bonus,data.clicked,data.timeClick,data.imageOrder,data.scoreIncrement,data.clickLength,data.rawScore,data.exitTimeoutId,data.exited
2kkC4M9Bk2oHnbQMo,,2021-07-22T16:07:03Z,2021-07-22T16:07:03Z,1,ExitSurvey,2021-07-22T16:18:11Z,finished,,,,2021-07-22T15:59:26Z,Repi,/avatars/jdenticon/Samuel,#8138A8,5.056000000000002,white_2,1103,"white_10,white_12,white_6,white_1,white_2,white_7",0.09600000000000002,2,6,,
ckm52p6p6v35L2oKv,,2021-07-22T16:13:12Z,2021-07-22T16:13:12Z,1,ExitSurvey,2021-07-22T16:57:22Z,finished,,,,2021-07-22T16:03:39Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,5.600000000000002,white_7,78191,"white_8,white_12,white_7,white_1,white_11,white_10",0.09600000000000002,2,6,,
2qencJYJnJ2yTaqda,,2021-07-22T16:09:15Z,2021-07-22T16:09:15Z,1,ExitSurvey,2021-07-22T16:24:05Z,finished,,,,2021-07-22T16:05:57Z,Repi,/avatars/jdenticon/Samuel,#8138A8,5.344,yellow_7,3619,"yellow_8,yellow_12,yellow_2,yellow_7,yellow_10,yellow_11",0.12266666666666667,3,7.666666666666667,,
4N4vJ3hcWn69qHhuC,,,,,"Sorry,ExitSurvey",2021-07-22T16:16:33Z,gameFull,,,,2021-07-22T16:08:40Z,,,,,,,,,,,,
tzWijeMcT5r6dLLSR,,2021-07-22T16:16:33Z,2021-07-22T16:16:33Z,1,ExitSurvey,2021-07-22T16:57:22Z,finished,,,,2021-07-22T16:10:04Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,5.600000000000002,white_7,54806,"white_1,white_8,white_11,white_10,white_12,white_7",0.09600000000000002,2,6,,
euY53KdPd7LhBXbCm,,2021-07-22T17:37:16Z,2021-07-22T17:37:16Z,1,"Sorry,ExitSurvey",2021-07-22T17:47:31Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2021-07-22T17:33:43Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,0.5450545,false,false,"purple_6,purple_3,purple_10,purple_5,purple_12,purple_4",0.110011,1,11,6929,true
7itHCEHnoQCfrP7Ex,,2021-07-22T17:36:25Z,2021-07-22T17:36:25Z,1,"Sorry,ExitSurvey",2021-07-22T17:47:31Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2021-07-22T17:33:46Z,Repi,/avatars/jdenticon/Samuel,#8138A8,0.4550455,false,false,"purple_10,purple_6,purple_12,purple_4,purple_3,purple_5",0.045004499999999996,2,4.5,7767,true
CayF3y7DWrbXTXeJq,,2021-07-22T17:39:22Z,2021-07-22T17:39:22Z,1,"Sorry,ExitSurvey",2021-07-22T17:50:36Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2021-07-22T17:33:56Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,0.40003999999999995,false,false,"purple_5,purple_10,purple_6,purple_3,purple_4,purple_12",0.010001,1,1,154,true
hoWvGu9jzZWiRN9cr,,2021-07-22T17:45:11Z,2021-07-22T17:45:11Z,1,ExitSurvey,2021-07-22T18:28:27Z,finished,,,,2021-07-22T17:33:58Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,4.0154014999999985,white_11,16331,"white_3,white_7,white_11,white_8,white_5,white_12",0.060006000000000004,1,6,,
DTQuh4dvxw9kGWbgA,,2021-07-22T17:40:19Z,2021-07-22T17:40:19Z,1,ExitSurvey,2021-07-22T18:28:27Z,finished,,,,2021-07-22T17:35:20Z,Repi,/avatars/jdenticon/Samuel,#8138A8,3.750375000000001,white_5,11124,"white_8,white_5,white_11,white_7,white_12,white_3",0.12001200000000001,1,12,,
suv6Nt8eFNZeDsxyp,,,,,"Sorry,ExitSurvey",2021-07-22T17:47:31Z,gameFull,,,,2021-07-22T17:35:52Z,,,,,,,,,,,,
R9Mp2DmTRGNWJuvpo,,2021-07-22T17:47:31Z,2021-07-22T17:47:31Z,1,ExitSurvey,2021-07-22T18:28:27Z,finished,,,,2021-07-22T17:36:16Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.9553955,white_12,18874,"white_12,white_11,white_8,white_3,white_5,white_7",0.020002,1,2,,
