roundId,index,stageIds,gameId,createdAt,repNum,blockNum,trialNum,numPlayers,submitted,playerId,playerResponse,time_sec,playerUtility
ievwpcgFGzCFRonDp,11,"QmfTzPuAGExvkEwPE,fENikNNSJp7C2PyTb",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,5,1,11,3,FALSE,2R66mXvMN2HTSXExx,yellow_3,0.288,4
ievwpcgFGzCFRonDp,11,"QmfTzPuAGExvkEwPE,fENikNNSJp7C2PyTb",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,5,1,11,3,FALSE,aDWfnsnGtZFpMtR8P,yellow_10,0.787,4
ievwpcgFGzCFRonDp,11,"QmfTzPuAGExvkEwPE,fENikNNSJp7C2PyTb",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,5,1,11,3,FALSE,wFt9Gem4ynZZvQzbH,yellow_3,2.273,4
iDxGcuYPe9buitv3s,12,"ymtoZQdX7m7qFz3jF,bCqSrHiFBv9PmFFRY",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,0,2,12,3,FALSE,2R66mXvMN2HTSXExx,yellow_11,0.267,7
iDxGcuYPe9buitv3s,12,"ymtoZQdX7m7qFz3jF,bCqSrHiFBv9PmFFRY",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,0,2,12,3,FALSE,aDWfnsnGtZFpMtR8P,yellow_10,3.03,7
iDxGcuYPe9buitv3s,12,"ymtoZQdX7m7qFz3jF,bCqSrHiFBv9PmFFRY",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,0,2,12,3,FALSE,wFt9Gem4ynZZvQzbH,yellow_5,3.987,7
hyK73GMBK4uo2RnTs,13,"bRjopJnZ7G58QfvNT,d7DyRKGsLX7zAr4v9",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,1,2,13,3,FALSE,2R66mXvMN2HTSXExx,yellow_10,0.166,4
hyK73GMBK4uo2RnTs,13,"bRjopJnZ7G58QfvNT,d7DyRKGsLX7zAr4v9",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,1,2,13,3,FALSE,aDWfnsnGtZFpMtR8P,yellow_1,2.445,4
hyK73GMBK4uo2RnTs,13,"bRjopJnZ7G58QfvNT,d7DyRKGsLX7zAr4v9",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,1,2,13,3,FALSE,wFt9Gem4ynZZvQzbH,yellow_10,3.601,4
CzuFaFzQTwS4ZyDjk,14,"sHLci4xu9Bc6vefST,FkX9oxjWdtCAi2LG5",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2,2,14,3,FALSE,2R66mXvMN2HTSXExx,yellow_11,0.081,6
CzuFaFzQTwS4ZyDjk,14,"sHLci4xu9Bc6vefST,FkX9oxjWdtCAi2LG5",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2,2,14,3,FALSE,aDWfnsnGtZFpMtR8P,yellow_5,1.943,6
CzuFaFzQTwS4ZyDjk,14,"sHLci4xu9Bc6vefST,FkX9oxjWdtCAi2LG5",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2,2,14,3,FALSE,wFt9Gem4ynZZvQzbH,yellow_4,2.408,6
8vPRNsDLrbZowwNBX,15,"P5EsWvxWJbssKbZ9B,5RXtBX2hD7DmtYDy5",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,3,2,15,3,FALSE,2R66mXvMN2HTSXExx,yellow_12,0.04,8.33333333333333
8vPRNsDLrbZowwNBX,15,"P5EsWvxWJbssKbZ9B,5RXtBX2hD7DmtYDy5",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,3,2,15,3,FALSE,aDWfnsnGtZFpMtR8P,yellow_3,3.022,8.33333333333333
8vPRNsDLrbZowwNBX,15,"P5EsWvxWJbssKbZ9B,5RXtBX2hD7DmtYDy5",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,3,2,15,3,FALSE,wFt9Gem4ynZZvQzbH,yellow_4,3.338,8.33333333333333
BTCmZfiL4Fao9oHjS,16,"a2YncYWp3LiR6gd8P,t4ZimkFCSFtyqPSku",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,4,2,16,3,FALSE,2R66mXvMN2HTSXExx,yellow_8,0.924,4.66666666666667
BTCmZfiL4Fao9oHjS,16,"a2YncYWp3LiR6gd8P,t4ZimkFCSFtyqPSku",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,4,2,16,3,FALSE,aDWfnsnGtZFpMtR8P,yellow_9,2.253,4.66666666666667
BTCmZfiL4Fao9oHjS,16,"a2YncYWp3LiR6gd8P,t4ZimkFCSFtyqPSku",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,4,2,16,3,FALSE,wFt9Gem4ynZZvQzbH,yellow_9,4.167,4.66666666666667
MoZk6qFT9rQYhBxHS,17,"WBGLv5cQa5B5EJNfZ,XbGH8ZXbfT8TSMTRy",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,5,2,17,3,FALSE,2R66mXvMN2HTSXExx,yellow_1,0.373,3.66666666666667
MoZk6qFT9rQYhBxHS,17,"WBGLv5cQa5B5EJNfZ,XbGH8ZXbfT8TSMTRy",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,5,2,17,3,FALSE,aDWfnsnGtZFpMtR8P,yellow_6,3.706,3.66666666666667
MoZk6qFT9rQYhBxHS,17,"WBGLv5cQa5B5EJNfZ,XbGH8ZXbfT8TSMTRy",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,5,2,17,3,FALSE,wFt9Gem4ynZZvQzbH,yellow_1,3.924,3.66666666666667
SdBWTHHFntK4N6K58,18,"yh44K6ddoEY9xLkyw,XfJB8Niv5k8rX9MTK",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,0,3,18,3,FALSE,2R66mXvMN2HTSXExx,yellow_3,0.178,9
SdBWTHHFntK4N6K58,18,"yh44K6ddoEY9xLkyw,XfJB8Niv5k8rX9MTK",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,0,3,18,3,FALSE,aDWfnsnGtZFpMtR8P,yellow_4,2.806,9
SdBWTHHFntK4N6K58,18,"yh44K6ddoEY9xLkyw,XfJB8Niv5k8rX9MTK",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,0,3,18,3,FALSE,wFt9Gem4ynZZvQzbH,yellow_7,4.91,9
ZkchLtiihWurHJkkh,19,"hH9DBtjSFs7HoZLgk,DzsCGYPZGkDvCGDBE",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,1,3,19,3,FALSE,2R66mXvMN2HTSXExx,yellow_12,0.2,3.66666666666667
ZkchLtiihWurHJkkh,19,"hH9DBtjSFs7HoZLgk,DzsCGYPZGkDvCGDBE",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,1,3,19,3,FALSE,aDWfnsnGtZFpMtR8P,yellow_6,2.058,3.66666666666667
ZkchLtiihWurHJkkh,19,"hH9DBtjSFs7HoZLgk,DzsCGYPZGkDvCGDBE",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,1,3,19,3,FALSE,wFt9Gem4ynZZvQzbH,yellow_12,3.272,3.66666666666667
YmFnZ52xcDMBTuGq6,20,"gKDTtxcvfFghFYoPg,bES4TE736BZqpbMdo",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2,3,20,3,FALSE,2R66mXvMN2HTSXExx,yellow_12,0.019,6.66666666666667
YmFnZ52xcDMBTuGq6,20,"gKDTtxcvfFghFYoPg,bES4TE736BZqpbMdo",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2,3,20,3,FALSE,aDWfnsnGtZFpMtR8P,yellow_1,1.328,6.66666666666667
YmFnZ52xcDMBTuGq6,20,"gKDTtxcvfFghFYoPg,bES4TE736BZqpbMdo",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,2,3,20,3,FALSE,wFt9Gem4ynZZvQzbH,yellow_3,1.891,6.66666666666667
jHjqYn4YLeJMpRqef,21,"iiZgJev7a8r4FatRE,y82kwxbTsfXaRpz37",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,3,3,21,3,FALSE,2R66mXvMN2HTSXExx,yellow_12,0.313,8.33333333333333
jHjqYn4YLeJMpRqef,21,"iiZgJev7a8r4FatRE,y82kwxbTsfXaRpz37",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,3,3,21,3,FALSE,aDWfnsnGtZFpMtR8P,yellow_2,0.723,8.33333333333333
jHjqYn4YLeJMpRqef,21,"iiZgJev7a8r4FatRE,y82kwxbTsfXaRpz37",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,3,3,21,3,FALSE,wFt9Gem4ynZZvQzbH,yellow_5,1.606,8.33333333333333
SZ5YNiLE9iruoarq3,22,"hDnjN9TxjLYxty3X7,G2WxqjYZ8S2pnRCeu",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,4,3,22,3,FALSE,2R66mXvMN2HTSXExx,yellow_7,0.129,7.66666666666667
SZ5YNiLE9iruoarq3,22,"hDnjN9TxjLYxty3X7,G2WxqjYZ8S2pnRCeu",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,4,3,22,3,FALSE,aDWfnsnGtZFpMtR8P,yellow_5,1.153,7.66666666666667
SZ5YNiLE9iruoarq3,22,"hDnjN9TxjLYxty3X7,G2WxqjYZ8S2pnRCeu",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,4,3,22,3,FALSE,wFt9Gem4ynZZvQzbH,yellow_3,1.673,7.66666666666667
E8kF5jcKCHCn6RL7i,23,"NfhoaHpt3LFuitmxi,bHS76SoeRsMzSZpvH",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,5,3,23,3,FALSE,2R66mXvMN2HTSXExx,yellow_8,0.159,8
E8kF5jcKCHCn6RL7i,23,"NfhoaHpt3LFuitmxi,bHS76SoeRsMzSZpvH",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,5,3,23,3,FALSE,aDWfnsnGtZFpMtR8P,yellow_7,2.698,8
E8kF5jcKCHCn6RL7i,23,"NfhoaHpt3LFuitmxi,bHS76SoeRsMzSZpvH",5XZ8cFNsh6dk6tw9s,2021-08-20T18:18:07Z,5,3,23,3,FALSE,wFt9Gem4ynZZvQzbH,yellow_10,1.58,8
ha55ZhXXTbe374Eou,0,"SBtafdrjpoWQQ2ukF,vuJe9ktd2fNKxe8ZP",7fFMnLt83jGgAY9Bm,2021-08-20T18:19:31Z,0,0,0,3,FALSE,6hvMdLE9nJSutH8EC,white_1,3.602,8
ha55ZhXXTbe374Eou,0,"SBtafdrjpoWQQ2ukF,vuJe9ktd2fNKxe8ZP",7fFMnLt83jGgAY9Bm,2021-08-20T18:19:31Z,0,0,0,3,FALSE,PDsF9w8L2wcbTFqPK,white_9,7.765,8
ha55ZhXXTbe374Eou,0,"SBtafdrjpoWQQ2ukF,vuJe9ktd2fNKxe8ZP",7fFMnLt83jGgAY9Bm,2021-08-20T18:19:31Z,0,0,0,3,FALSE,b8uvbv78oddp4MXBk,white_6,7.151,8
cRrnGew4hawAoBGWZ,1,"PbnxhjfHehiP45nPb,Zevqo6eiL28TLuTN9",7fFMnLt83jGgAY9Bm,2021-08-20T18:19:31Z,1,0,1,3,FALSE,6hvMdLE9nJSutH8EC,white_12,1.975,3.33333333333333
